New York,780.9,10933,40.6635,73.9387,24581
,,,,,
Los Angeles,1213.9,3276,34.0194,118.4108,21170
,,,,,
Chicago,588.7,4600,41.8376,87.6818,22957
,,,,,
Houston,1651.1,1395,29.7866,95.3909,21701
,,,,,
Phoenix,1340.6,1200,33.5722,112.0901,21907
,,,,,
Philadelphia,347.6,4511,40.0094,75.1333,22874
,,,,,
San Antonio,1194,1250,29.4724,98.5251,18518
,,,,,
San Diego,842.3,1670,32.8153,117.135,22926
,,,,,
Dallas,882.9,1493,32.7933,96.7665,23616
,,,,,
San Jose,459.7,2231,37.2967,121.8189,40392
,,,,,
Austin,809.9,1170,30.3039,97.7544,24516
,,,,,
Jacksonville,1935.8,455,30.3369,81.6616,21763
,,,,,
San Francisco,121.5,7170,37.7272,123.0322,38355
,,,,,
Columbus,565.9,1520,39.9852,82.9848,23020
,,,,,
Indianapolis,936.3,914,39.7767,86.1459,23198
,,,,,
Fort Worth,888.1,962,32.7815,97.3467,23616
,,,,,
Charlotte,791,1064,35.2078,80.831,23417
,,,,,
Seattle,217,3245,47.6205,122.3509,39322
,,,,,
Denver,397,1746,39.7619,104.8811,32399
,,,,,
El Paso,665.1,1030,31.8484,106.427,13421
,,,,,
Washington,158.2,4304,38.9041,77.0172,47411
,,,,,
Boston,125.1,5381,42.332,71.0202,37311
,,,,,
Detroit,359.5,1871,42.383,83.1022,22319
,,,,,
Nashville,1232.6,536,36.1718,86.785,23994
,,,,,
Memphis,822.1,794,35.1028,89.9774,20327
,,,,,
Portland,345.8,1851,45.537,122.65,31377
,,,,,
Oklahoma City,1570.3,407,35.4671,97.5137,19366
,,,,,
Las Vegas,348.1,1818,36.2292,115.2601,21210
,,,,,
Louisville,682.5,903,38.1654,85.6474,21756
,,,,,
Baltimore,209.5,2934,39.3,76.6105,29771
,,,,,
Milwaukee,249.2,2388,43.0633,87.9667,23003
,,,,,
Albuquerque,487.4,1147,35.1056,106.6474,20025
,,,,,
Tucson,597.8,888,32.1531,110.8706,19785
,,,,,
Fresno,296.3,1762,36.7836,119.7934,15386
,,,,,
Sacramento,253.6,1953,38.5666,121.4686,22302
,,,,,
Mesa,357.2,1357,33.4019,111.7174,
,,,,,
Kansas City,815.8,590,39.1251,94.551,23326
,,,,,
Atlanta,345.8,1366,33.7629,84.4227,25288
,,,,,
Long Beach,130.3,3609,33.8092,118.1553,
,,,,,
Colorado Springs,506.6,918,38.8673,104.7607,22005
,,,,,
Raleigh,375.8,1221,35.8306,78.6418,24698
,,,,,
Miami,93.2,4865,25.7752,80.2086,20454
,,,,,
Virginia Beach,633.8,710,36.78,76.0252,20328
,,,,,
Omaha,345,1296,41.2644,96.0451,22145
,,,,,
Oakland,144.8,2901,37.7698,122.2257,
,,,,,
Minneapolis,139.9,2960,44.9633,93.2683,35388
,,,,,
Tulsa,509.7,791,36.1279,95.9023,20092
,,,,,
Arlington,248.1,1600,32.7007,97.1247,
,,,,,
New Orleans,438.7,892,30.0534,89.9345,18834
,,,,,
Wichita,415.4,939,37.6907,97.3459,20692
,,,,,
Cleveland,201.2,1917,41.4785,81.6794,24275
,,,,,
Tampa,293.7,1284,27.9701,82.4797,21784
,,,,,
Bakersfield,385.4,976,35.3212,119.0183,15760
,,,,,
Aurora,397.6,910,39.688,104.6897,
,,,,,
Honolulu,156.7,2245,21.3243,157.8476,36339
,,,,,
Anaheim,129.5,2711,33.8555,117.7601,
,,,,,
Santa Ana,70.2,4762,33.7363,117.883,
,,,,,
Corpus Christi,452.2,720,27.7543,97.1734,
,,,,,
Riverside,210.3,1544,33.9381,117.3932,21170
,,,,,
Lexington,734.5,434,38.0407,84.4583,21237
,,,,,
St. Louis,160.6,1939,38.6357,90.2446,22698
,,,,,
Stockton,159.8,1922,37.9763,121.3133,17365
,,,,,
Pittsburgh,143.5,2116,40.4398,79.9766,20935
,,,,,
Saint Paul,134.7,2245,44.9489,93.1041,
,,,,,
Cincinnati,200.5,1490,39.1402,84.5058,22947
,,,,,
Anchorage,4420.1,68,61.1743,149.2843,
,,,,,
Henderson,271.2,1080,36.0097,115.0357,
,,,,,
Greensboro,332.3,864,36.0951,79.827,21392
,,,,,
Plano,185.7,1540,33.0508,96.7479,
,,,,,
Newark,62.4,4514,40.7242,74.1726,
,,,,,
Lincoln,238.5,1175,40.8105,96.6803,
,,,,,
Toledo,209,1332,41.6641,83.5819,20565
,,,,,
Orlando,272.5,1017,28.4166,81.2736,21232
,,,,,
Chula Vista,128.5,2080,32.6277,117.0152,
,,,,,
Irvine,169.9,1566,33.6784,117.7713,
,,,,,
Fort Wayne,286.5,923,41.0882,85.1439,20701
,,,,,
Jersey City,38.3,6891,40.7114,74.0648,
,,,,,
Durham,284.4,925,35.9811,78.9029,24698
,,,,,
St. Petersburg,160.1,1631,27.762,82.6441,
,,,,,
Laredo,261.8,982,27.5604,99.4892,
,,,,,
Buffalo,104.6,2455,42.8925,78.8597,20143
,,,,,
Madison,199.4,1270,43.0878,89.4299,25163
,,,,,
Lubbock,322.7,783,33.5656,101.8867,
,,,,,
Chandler,168.1,1472,33.2829,111.8549,
,,,,,
